datetime,temperature(℃),humidity(%),pressure(mbar),hazardous
20181109090645,26.8,38.0,1022.9,False
20181109090659,26.9,37.9,1022.9,False
20181109090712,26.9,37.8,1022.9,False
20181109090724,26.9,37.8,1022.8,False
20181109090737,27.0,37.7,1022.9,False
20181109090752,27.0,37.5,1022.9,False
20181109090806,26.7,38.3,1023.0,False
20181109090819,26.2,39.4,1023.0,False
20181109090833,25.8,40.1,1023.0,False
20181109091454,26.1,39.4,1023.0,False
20181109091506,26.1,39.4,1022.9,False
20181109091520,26.2,39.4,1022.9,False
20181109091534,26.0,39.8,1023.0,False
20181109091549,25.7,40.3,1022.9,False
20181109091603,25.8,40.0,1022.9,False
20181109091617,26.0,39.8,1023.0,False
20181109091630,26.2,39.4,1023.0,False
20181109091644,26.2,39.3,1022.9,False
20181109091656,26.3,39.1,1023.0,False
20181109091709,26.4,38.8,1022.9,False
20181109091723,26.4,38.7,1022.9,False
20181109091735,26.3,39.0,1023.0,False
20181109091749,26.4,38.9,1022.9,False
20181109091800,26.3,38.9,1022.9,False
20181109091813,26.3,39.1,1022.9,False
20181109091825,26.2,39.5,1022.9,False
20181109091838,25.9,40.0,1022.8,False
20181109091850,26.0,39.9,1022.9,False
20181109091902,26.1,39.7,1023.0,False
20181109091914,25.9,41.2,1023.0,False
20181109091928,26.0,40.2,1022.9,False
20181109091941,25.8,40.4,1022.9,False
20181109091954,25.9,40.0,1022.9,False
20181109092007,25.9,39.9,1022.9,False
20181109092020,26.0,39.8,1023.0,False
20181109092035,26.1,39.6,1022.9,False
20181109095324,26.6,39.0,1022.9,False
20181109095332,26.6,38.8,1023.0,False
20181109095608,26.5,39.2,1022.9,False
20181109095622,26.5,39.0,1022.9,False
20181109095636,26.5,39.1,1022.9,False
20181109095648,26.5,39.1,1022.9,False
20181109095702,26.4,39.3,1022.9,False
20181109095716,26.3,39.5,1022.9,False
20181109095731,26.4,39.4,1023.0,False
20181109095744,26.5,39.2,1022.9,False
20181109095758,26.7,38.9,1023.0,False
20181109095812,26.7,39.0,1022.9,False
20181109095826,26.8,38.6,1022.9,False
20181109095838,26.9,38.0,1022.9,False
20181109095853,26.7,38.4,1022.9,False
20181109095905,26.7,38.4,1022.9,False
20181109095920,26.8,38.0,1022.9,False
20181109095933,26.9,37.6,1022.9,False
20181109095947,26.9,37.7,1022.9,False
20181109100000,26.9,37.8,1022.9,False
20181109100014,27.2,37.6,1022.9,False
20181109100027,27.1,37.6,1022.9,False
20181109100041,27.0,37.8,1023.0,False
20181109100054,26.9,37.9,1022.8,False
20181109100108,27.0,37.8,1022.9,False
20181109100119,27.1,37.7,1022.9,False
20181109100133,27.0,37.8,1022.9,False
20181109100145,26.9,38.1,1022.9,False
20181109100159,26.9,38.0,1022.9,False
20181109100214,26.9,38.0,1022.9,False
20181109100228,27.1,37.3,1022.8,False
20181109100241,27.3,37.2,1022.9,False
20181109100256,27.3,37.2,1022.8,False
20181109100310,27.3,37.3,1022.9,False
20181109100322,27.2,37.4,1022.8,False
20181109100336,27.3,37.4,1023.0,False
20181109100350,27.0,38.0,1022.8,False
20181109100404,26.8,38.3,1022.9,False
20181109100419,26.9,38.1,1022.8,False
20181109100431,27.1,37.8,1022.9,False
20181109100445,27.1,37.8,1022.9,False
20181109100459,26.9,38.0,1022.7,False
20181109100513,27.0,38.0,1022.8,False
20181109100527,27.0,38.0,1022.8,False
20181109100542,27.0,38.0,1022.7,False
20181109100556,27.0,37.9,1022.9,False
20181109100608,27.3,37.7,1022.8,False
20181109100622,27.3,37.4,1022.8,False
20181109100635,27.4,37.1,1022.8,False
20181109100648,27.7,36.6,1022.8,False
20181109100702,27.6,36.7,1022.9,False
20181109100717,27.6,36.5,1022.8,False
20181109100729,27.7,36.4,1022.8,False
20181109100742,27.7,36.6,1022.8,False
20181109100756,27.7,36.3,1022.8,False
20181109100810,27.7,36.2,1022.8,False
20181109100822,27.9,35.9,1022.8,False
20181109100836,27.8,36.1,1022.9,False
20181109100849,27.7,36.4,1022.8,False
20181109100903,27.8,36.0,1022.8,False
20181109100916,27.8,36.0,1022.8,False
20181109100930,27.9,36.0,1022.8,False
20181109100944,27.7,36.3,1022.9,False
20181109100958,27.7,36.4,1022.7,False
20181109101011,27.8,36.1,1022.8,False
20181109101026,27.8,36.1,1022.8,False
20181109101037,27.8,36.3,1022.7,False
20181109101050,28.0,36.0,1022.8,False
20181109101104,27.8,36.3,1022.8,False
20181109101118,27.8,36.1,1022.8,False
20181109101131,27.9,35.9,1022.8,False
20181109101145,28.0,35.7,1022.8,False
20181109101200,27.9,35.8,1022.8,False
20181109101213,27.8,35.9,1022.8,False
20181109101227,27.8,36.1,1022.8,False
20181109101241,27.7,36.5,1022.8,False
20181109101254,27.7,36.9,1022.8,False
20181109101308,27.9,36.4,1022.8,False
20181109101322,27.9,36.2,1022.8,False
20181109101336,27.9,36.1,1022.9,False
20181109101350,27.9,36.0,1022.8,False
20181109101404,28.0,35.8,1022.8,False
20181109101419,27.7,36.3,1022.8,False
20181109101432,27.9,36.4,1022.8,False
20181109101444,27.7,36.5,1022.7,False
20181109101458,27.8,36.3,1022.7,False
20181109101512,28.0,36.0,1022.8,False
20181109101527,28.0,35.5,1022.8,False
20181109101541,28.0,35.9,1022.8,False
20181109101554,28.0,35.9,1022.7,False
20181109101608,27.9,35.7,1022.7,False
20181109101622,27.9,35.7,1022.7,False
20181109101634,27.9,35.7,1022.7,False
20181109101646,28.0,35.5,1022.7,False
20181109101700,28.0,35.7,1022.7,False
20181109101714,27.9,35.7,1022.7,False
20181109101726,28.1,35.4,1022.8,False
20181109101740,28.0,35.4,1022.7,False
20181109101754,28.1,35.6,1022.7,False
20181109101808,28.0,35.4,1022.7,False
20181109101823,28.0,35.7,1022.7,False
20181109101837,28.1,35.6,1022.6,False
20181109101851,28.2,35.5,1022.6,False
20181109101905,28.2,35.2,1022.8,False
20181109101920,28.1,35.3,1022.7,False
20181109101933,28.1,35.4,1022.8,False
20181109101948,28.0,35.6,1022.7,False
20181109102000,28.1,35.6,1022.7,False
20181109102015,28.2,35.3,1022.8,False
20181109102029,28.2,35.1,1022.7,False
20181109102043,28.3,35.2,1022.6,False
20181109102057,28.3,35.1,1022.7,False
20181109102111,28.2,35.5,1022.7,False
20181109102126,28.1,35.5,1022.8,False
20181109102140,28.1,35.4,1022.7,False
20181109102154,28.2,35.1,1022.7,False
20181109102208,28.1,35.3,1022.7,False
20181109102223,28.3,35.0,1022.7,False
20181109102237,28.4,34.7,1022.7,False
20181109102250,28.5,34.6,1022.7,False
20181109102304,28.4,34.8,1022.8,False
20181109102318,28.3,34.9,1022.7,False
20181109102333,28.3,35.0,1022.8,False
20181109102344,28.2,35.0,1022.7,False
20181109102418,28.2,34.9,1022.8,False
20181109102432,28.3,34.9,1022.6,False
20181109102446,28.3,34.8,1022.7,False
20181109102501,28.4,34.6,1022.7,False
20181109102515,28.3,34.5,1022.8,False
20181109102528,28.2,34.6,1022.7,False
20181109102542,28.2,34.8,1022.8,False
20181109102554,27.9,35.5,1022.8,False
20181109102608,27.7,35.9,1022.8,False
20181109102623,27.7,36.2,1022.7,False
20181109102635,27.7,36.1,1022.7,False
20181109102650,27.6,36.2,1022.7,False
20181109102702,27.6,36.0,1022.7,False
20181109102717,27.6,36.1,1022.7,False
20181109102729,27.6,36.0,1022.8,False
20181109102741,27.6,35.9,1022.7,False
20181109102755,27.8,35.5,1022.7,False
20181109102809,28.1,35.0,1022.7,False
20181109102824,28.2,34.8,1022.8,False
20181109102838,28.1,35.1,1022.6,False
20181109102852,28.2,34.9,1022.7,False
20181109102906,28.2,34.5,1022.8,False
20181109102920,28.2,34.7,1022.7,False
20181109102935,28.1,34.7,1022.7,False
20181109102947,28.2,34.7,1022.7,False
20181109103001,28.2,34.8,1022.7,False
20181109103016,28.2,34.7,1022.7,False
20181109103030,28.1,34.8,1022.6,False
20181109103044,28.3,34.7,1022.7,False
20181109103057,28.1,34.8,1022.8,False
20181109103111,28.0,35.1,1022.7,False
20181109103122,28.0,35.1,1022.6,False
20181109103140,27.9,35.6,1022.7,False
20181109103154,27.9,35.4,1022.6,False
20181109103208,27.8,35.5,1022.7,False
20181109103221,27.8,35.6,1022.6,False
20181109103235,27.9,35.9,1022.7,False
20181109103247,27.9,35.6,1022.7,False
20181109103301,27.9,35.5,1022.7,False
20181109103315,27.8,35.6,1022.7,False
20181109103329,27.9,35.4,1022.6,False
20181109103344,28.0,35.2,1022.6,False
20181109103356,28.0,35.2,1022.7,False
20181109103410,28.0,35.0,1022.6,False
20181109103423,28.1,34.8,1022.7,False
20181109103437,28.2,34.7,1022.6,False
20181109103450,28.3,34.7,1022.6,False
20181109103504,28.3,34.7,1022.6,False
20181109103517,28.2,34.6,1022.6,False
20181109103532,28.2,34.7,1022.7,False
20181109103546,28.2,34.8,1022.6,False
20181109103600,28.1,34.9,1022.6,False
20181109103614,28.1,35.2,1022.7,False
20181109103625,28.0,35.1,1022.6,False
20181109103639,27.9,35.3,1022.7,False
20181109103651,27.8,35.4,1022.6,False
